TimeSliceSorted,Region,Average PV (ore/kWh),Period
01_SP_16,NO5,85.0181802977325,2045
01_SP_16,NO5,83.1631219592125,2050
01_SP_17,NO1,63.776063442768894,2030
01_SP_17,NO1,89.1592846839677,2035
01_SP_17,NO1,95.177705406993,2040
01_SP_17,NO1,97.0543901699717,2045
01_SP_17,NO1,89.7902769962417,2050
01_SP_17,NO2,62.5005421695667,2030
01_SP_17,NO2,87.43197708120519,2035
01_SP_17,NO2,94.7039691930092,2040
01_SP_17,NO2,95.2748058430643,2045
01_SP_17,NO2,88.0803047037194,2050
01_SP_17,NO3,61.540713068016395,2030
01_SP_17,NO3,85.2856354054546,2035
01_SP_17,NO3,91.904887518666,2040
01_SP_17,NO3,95.7729463815003,2045
01_SP_17,NO3,90.3841587858962,2050
01_SP_17,NO4,60.3098988132093,2030
01_SP_17,NO4,83.5799227401409,2035
01_SP_17,NO4,91.90488733282879,2040
01_SP_17,NO4,95.7729463099759,2045
01_SP_17,NO4,90.3841587361814,2050
01_SP_17,NO5,62.7966460524706,2030
01_SP_17,NO5,87.3760989880889,2035
01_SP_17,NO5,93.2741512944573,2040
01_SP_17,NO5,95.11330234856919,2045
01_SP_17,NO5,87.9944714274221,2050
01_SP_18,NO1,63.7760634458765,2030
01_SP_18,NO1,89.1592846981061,2035
01_SP_18,NO1,95.177705459292,2040
01_SP_18,NO1,97.05439041025299,2045
01_SP_18,NO1,89.8778619014701,2050
01_SP_18,NO2,62.5005421737567,2030
01_SP_18,NO2,87.4319770831956,2035
01_SP_18,NO2,94.7039691981684,2040
01_SP_18,NO2,95.2748058480135,2045
01_SP_18,NO2,88.0803047078222,2050
01_SP_18,NO3,61.5407130863377,2030
01_SP_18,NO3,85.6285770514079,2035
01_SP_18,NO3,92.2195478889597,2040
01_SP_18,NO3,96.0368842769302,2045
01_SP_18,NO3,90.5657971545415,2050
01_SP_18,NO4,60.3098988142738,2030
01_SP_18,NO4,83.9500060505349,2035
01_SP_18,NO4,92.21954769943241,2040
01_SP_18,NO4,96.0368842056406,2045
01_SP_18,NO4,91.0588907421586,2050
01_SP_18,NO5,62.79664605243251,2030
01_SP_18,NO5,87.37609900182801,2035
01_SP_18,NO5,93.2741513452822,2040
01_SP_18,NO5,95.11330257359421,2045
01_SP_18,NO5,88.0803046514905,2050
01_SP_19,NO1,63.7760634448793,2030
01_SP_19,NO1,89.1592846987154,2035
01_SP_19,NO1,95.1777054769998,2040
01_SP_19,NO1,97.0543904279829,2045
01_SP_19,NO1,89.87786189919629,2050
01_SP_19,NO2,62.500542173187,2030
01_SP_19,NO2,87.4319770930726,2035
01_SP_19,NO2,94.7039691982148,2040
01_SP_19,NO2,95.2748058462637,2045
01_SP_19,NO2,88.0803047077969,2050
01_SP_19,NO3,61.5407130853167,2030
01_SP_19,NO3,85.6285770495341,2035
01_SP_19,NO3,92.29353648480671,2040
01_SP_19,NO3,96.1448326057579,2045
01_SP_19,NO3,90.56579635122709,2050
01_SP_19,NO4,60.30989881420739,2030
01_SP_19,NO4,83.9737711259778,2035
01_SP_19,NO4,92.2935362721268,2040
01_SP_19,NO4,96.1448325376708,2045
01_SP_19,NO4,91.07545398536601,2050
01_SP_19,NO5,62.796646052395396,2030
01_SP_19,NO5,87.37609900235739,2035
01_SP_19,NO5,93.274151362563,2040
01_SP_19,NO5,95.1133025908327,2045
01_SP_19,NO5,88.0803046490692,2050
01_SP_20,NO1,63.7760634430839,2030
01_SP_20,NO1,89.1592846825896,2035
01_SP_20,NO1,95.1777054055393,2040
01_SP_20,NO1,97.054390263293,2045
01_SP_20,NO1,89.87786189648911,2050
01_SP_20,NO2,62.500542172231306,2030
01_SP_20,NO2,87.4319770848832,2035
01_SP_20,NO2,94.7039691981771,2040
01_SP_20,NO2,95.2748058451627,2045
01_SP_20,NO2,88.0803047077562,2050
01_SP_20,NO3,61.540713066917604,2030
01_SP_20,NO3,85.2715761355327,2035
01_SP_20,NO3,91.9075050443503,2040
01_SP_20,NO3,96.070181512441,2045
01_SP_20,NO3,90.6980220956031,2050
01_SP_20,NO4,60.309898813020006,2030
01_SP_20,NO4,83.5661446641775,2035
01_SP_20,NO4,91.9075048649083,2040
01_SP_20,NO4,96.070181444041,2045
01_SP_20,NO4,92.5490009839765,2050
